17 - 29, *, *, married, *, *, male, *, 99793
17 - 29, *, *, married, *, *, male, *, 84253
17 - 29, *, *, married, *, *, male, *, 48314
17 - 29, *, *, married, *, *, male, *, 78192
17 - 29, *, *, married, *, *, male, *, 83270
17 - 29, *, *, married, *, *, male, *, 76623
17 - 29, *, *, married, *, *, male, *, 46944
17 - 29, *, *, married, *, *, male, *, 53576
17 - 29, *, *, married, *, *, male, *, 14101
17 - 29, *, *, married, *, *, male, *, 41769
17 - 29, *, *, married, *, *, male, *, 83602
17 - 29, *, *, married, *, *, male, *, 17979
17 - 29, *, *, married, *, *, male, *, 96601
17 - 29, *, *, married, *, *, male, *, 101302
17 - 29, *, *, married, *, *, male, *, 116766
17 - 29, *, *, married, *, *, male, *, 107849
17 - 29, *, *, married, *, *, male, *, 67822
17 - 29, *, *, married, *, *, male, *, 96899
17 - 29, *, *, married, *, *, male, *, 43768
17 - 29, *, *, married, *, *, male, *, 76550
17 - 29, *, *, married, *, *, male, *, 81193
17 - 29, *, *, married, *, *, male, *, 37464
17 - 29, *, *, married, *, *, male, *, 71968
17 - 29, *, *, married, *, *, male, *, 93114
17 - 29, *, *, married, *, *, male, *, 119846
17 - 29, *, *, married, *, *, male, *, 69740
17 - 29, *, *, married, *, *, male, *, 66275
17 - 29, *, *, married, *, *, male, *, 100587
17 - 29, *, *, married, *, *, male, *, 45803
17 - 29, *, *, married, *, *, male, *, 87108
17 - 29, *, *, married, *, *, male, *, 85248
17 - 29, *, *, married, *, *, male, *, 36637
17 - 29, *, *, married, *, *, male, *, 55516
17 - 29, *, *, married, *, *, male, *, 54214
17 - 29, *, *, married, *, *, male, *, 41750
17 - 29, *, *, married, *, *, male, *, 76192
17 - 29, *, *, married, *, *, male, *, 82303
17 - 29, *, *, married, *, *, male, *, 35327
17 - 29, *, *, married, *, *, male, *, 62311
17 - 29, *, *, married, *, *, male, *, 64178
17 - 29, *, *, married, *, *, male, *, 95019
17 - 29, *, *, married, *, *, male, *, 72670
17 - 29, *, *, married, *, *, male, *, 38701
17 - 29, *, *, married, *, *, male, *, 84828
17 - 29, *, *, married, *, *, male, *, 9363
17 - 29, *, *, married, *, *, male, *, 42562
17 - 29, *, *, married, *, *, male, *, 84456
17 - 29, *, *, married, *, *, male, *, 82390
17 - 29, *, *, married, *, *, male, *, 104248
17 - 29, *, *, married, *, *, male, *, 12352
17 - 29, *, *, married, *, *, male, *, 111047
17 - 29, *, *, married, *, *, male, *, 101626
17 - 29, *, *, married, *, *, male, *, 74956
17 - 29, *, *, married, *, *, male, *, 59934
17 - 29, *, *, married, *, *, male, *, 69835
17 - 29, *, *, married, *, *, male, *, 70157
17 - 29, *, *, married, *, *, male, *, 57812
17 - 29, *, *, married, *, *, male, *, 60273
17 - 29, *, *, married, *, *, male, *, 40330
17 - 29, *, *, married, *, *, male, *, 114765
17 - 29, *, *, married, *, *, male, *, 64287
17 - 29, *, *, married, *, *, male, *, 42356
17 - 29, *, *, married, *, *, male, *, 78133
17 - 29, *, *, married, *, *, male, *, 89872
17 - 29, *, *, married, *, *, male, *, 37571
17 - 29, *, *, married, *, *, male, *, 39440
17 - 29, *, *, married, *, *, male, *, 29200
17 - 29, *, *, married, *, *, male, *, 94473
17 - 29, *, *, married, *, *, male, *, 118122
17 - 29, *, *, married, *, *, male, *, 92150
17 - 29, *, *, married, *, *, male, *, 61512
17 - 29, *, *, married, *, *, male, *, 74052
17 - 29, *, *, married, *, *, male, *, 119259
17 - 29, *, *, married, *, *, male, *, 107741
17 - 29, *, *, married, *, *, male, *, 32122
17 - 29, *, *, married, *, *, male, *, 44380
17 - 29, *, *, married, *, *, male, *, 79770
17 - 29, *, *, married, *, *, male, *, 93726
17 - 29, *, *, married, *, *, male, *, 44163
17 - 29, *, *, married, *, *, male, *, 89015
17 - 29, *, *, married, *, *, male, *, 108413
17 - 29, *, *, married, *, *, male, *, 96968
17 - 29, *, *, married, *, *, male, *, 65501
17 - 29, *, *, married, *, *, male, *, 111010
17 - 29, *, *, married, *, *, male, *, 82774
17 - 29, *, *, married, *, *, male, *, 56152
17 - 29, *, *, married, *, *, male, *, 60044
17 - 29, *, *, married, *, *, male, *, 47489
17 - 29, *, *, married, *, *, male, *, 53700
17 - 29, *, *, married, *, *, male, *, 60301
17 - 29, *, *, married, *, *, male, *, 65945
17 - 29, *, *, married, *, *, male, *, 33716
17 - 29, *, *, married, *, *, male, *, 58013
17 - 29, *, *, married, *, *, male, *, 13619
17 - 29, *, *, married, *, *, male, *, 67421
17 - 29, *, *, married, *, *, male, *, 55192
17 - 29, *, *, married, *, *, male, *, 15186
17 - 29, *, *, married, *, *, male, *, 15382
17 - 29, *, *, married, *, *, male, *, 49156
17 - 29, *, *, married, *, *, male, *, 90706
17 - 29, *, *, married, *, *, male, *, 12053
17 - 29, *, *, married, *, *, male, *, 56149
17 - 29, *, *, married, *, *, male, *, 47259
17 - 29, *, *, married, *, *, male, *, 13546
17 - 29, *, *, married, *, *, male, *, 48561
