20 - 26, *, pre-primary, married, *, *, *, *, 9363
20 - 26, *, pre-primary, married, *, *, *, *, 12352
20 - 26, *, pre-primary, married, *, *, *, *, 5526
20 - 26, *, pre-primary, married, *, *, *, *, 15186
20 - 26, *, pre-primary, married, *, *, *, *, 15382
20 - 26, *, pre-primary, married, *, *, *, *, 12053
20 - 26, *, pre-primary, married, *, *, *, *, 13546
20 - 26, *, pre-primary, married, *, *, *, *, 12004
20 - 26, *, pre-primary, married, *, *, *, *, 19800
20 - 26, *, pre-primary, married, *, *, *, *, 6255
20 - 26, *, pre-primary, married, *, *, *, *, 16125
20 - 26, *, pre-primary, married, *, *, *, *, 7979
20 - 26, *, pre-primary, married, *, *, *, *, 11443
20 - 26, *, pre-primary, married, *, *, *, *, 6604
20 - 26, *, pre-primary, married, *, *, *, *, 9156
20 - 26, *, pre-primary, married, *, *, *, *, 10246
20 - 26, *, pre-primary, married, *, *, *, *, 8735
20 - 26, *, pre-primary, married, *, *, *, *, 10337
20 - 26, *, pre-primary, married, *, *, *, *, 17270
20 - 26, *, pre-primary, married, *, *, *, *, 6578
20 - 26, *, pre-primary, married, *, *, *, *, 9553
20 - 26, *, pre-primary, married, *, *, *, *, 5033
20 - 26, *, pre-primary, married, *, *, *, *, 11103
20 - 26, *, pre-primary, married, *, *, *, *, 18643
20 - 26, *, pre-primary, married, *, *, *, *, 19484
20 - 26, *, pre-primary, married, *, *, *, *, 18926
20 - 26, *, pre-primary, married, *, *, *, *, 10863
27 - 31, *, pre-primary, married, *, *, *, *, 14101
27 - 31, *, pre-primary, married, *, *, *, *, 17979
27 - 31, *, pre-primary, married, *, *, *, *, 12650
27 - 31, *, pre-primary, married, *, *, *, *, 15650
27 - 31, *, pre-primary, married, *, *, *, *, 16035
27 - 31, *, pre-primary, married, *, *, *, *, 14721
27 - 31, *, pre-primary, married, *, *, *, *, 17291
27 - 31, *, pre-primary, married, *, *, *, *, 16133
27 - 31, *, pre-primary, married, *, *, *, *, 10279
27 - 31, *, pre-primary, married, *, *, *, *, 19728
27 - 31, *, pre-primary, married, *, *, *, *, 6394
27 - 31, *, pre-primary, married, *, *, *, *, 16715
27 - 31, *, pre-primary, married, *, *, *, *, 5373
27 - 31, *, pre-primary, married, *, *, *, *, 10165
27 - 31, *, pre-primary, married, *, *, *, *, 13067
27 - 31, *, pre-primary, married, *, *, *, *, 12882
27 - 31, *, pre-primary, married, *, *, *, *, 10522
27 - 31, *, pre-primary, married, *, *, *, *, 17228
27 - 31, *, pre-primary, married, *, *, *, *, 11152
27 - 31, *, pre-primary, married, *, *, *, *, 8417
27 - 31, *, pre-primary, married, *, *, *, *, 13015
27 - 31, *, pre-primary, married, *, *, *, *, 10245
27 - 31, *, pre-primary, married, *, *, *, *, 12890
32 - 37, *, pre-primary, married, *, *, *, *, 8828
32 - 37, *, pre-primary, married, *, *, *, *, 5620
32 - 37, *, pre-primary, married, *, *, *, *, 10922
32 - 37, *, pre-primary, married, *, *, *, *, 10496
32 - 37, *, pre-primary, married, *, *, *, *, 8384
32 - 37, *, pre-primary, married, *, *, *, *, 12090
32 - 37, *, pre-primary, married, *, *, *, *, 14012
32 - 37, *, pre-primary, married, *, *, *, *, 15086
32 - 37, *, pre-primary, married, *, *, *, *, 15797
32 - 37, *, pre-primary, married, *, *, *, *, 7296
32 - 37, *, pre-primary, married, *, *, *, *, 7369
32 - 37, *, pre-primary, married, *, *, *, *, 7633
32 - 37, *, pre-primary, married, *, *, *, *, 19594
32 - 37, *, pre-primary, married, *, *, *, *, 13308
32 - 37, *, pre-primary, married, *, *, *, *, 5016
32 - 37, *, pre-primary, married, *, *, *, *, 10097
32 - 37, *, pre-primary, married, *, *, *, *, 11695
32 - 37, *, pre-primary, married, *, *, *, *, 14451
32 - 37, *, pre-primary, married, *, *, *, *, 6333
32 - 37, *, pre-primary, married, *, *, *, *, 15851
32 - 37, *, pre-primary, married, *, *, *, *, 11328
32 - 37, *, pre-primary, married, *, *, *, *, 18000
32 - 37, *, pre-primary, married, *, *, *, *, 15208
32 - 37, *, pre-primary, married, *, *, *, *, 19039
32 - 37, *, pre-primary, married, *, *, *, *, 8298
32 - 37, *, pre-primary, married, *, *, *, *, 16054
32 - 37, *, pre-primary, married, *, *, *, *, 19262
32 - 37, *, pre-primary, married, *, *, *, *, 15255
32 - 37, *, pre-primary, married, *, *, *, *, 8339
32 - 37, *, pre-primary, married, *, *, *, *, 5383
32 - 37, *, pre-primary, married, *, *, *, *, 16043
32 - 37, *, pre-primary, married, *, *, *, *, 7015
32 - 37, *, pre-primary, married, *, *, *, *, 10144
32 - 37, *, pre-primary, married, *, *, *, *, 6702
32 - 37, *, pre-primary, married, *, *, *, *, 10145
32 - 37, *, pre-primary, married, *, *, *, *, 6389
32 - 37, *, pre-primary, married, *, *, *, *, 12526
32 - 37, *, pre-primary, married, *, *, *, *, 18648
32 - 37, *, pre-primary, married, *, *, *, *, 7607
32 - 37, *, pre-primary, married, *, *, *, *, 6023
32 - 37, *, pre-primary, married, *, *, *, *, 12256
32 - 37, *, pre-primary, married, *, *, *, *, 5017
32 - 37, *, pre-primary, married, *, *, *, *, 11510
32 - 37, *, pre-primary, married, *, *, *, *, 9732
32 - 37, *, pre-primary, married, *, *, *, *, 6418
32 - 37, *, pre-primary, married, *, *, *, *, 13432
32 - 37, *, pre-primary, married, *, *, *, *, 12650
32 - 37, *, pre-primary, married, *, *, *, *, 12334
32 - 37, *, pre-primary, married, *, *, *, *, 17835
17 - 25, *, pre-primary, never-married, *, *, male, *, 12587
17 - 25, *, pre-primary, never-married, *, *, male, *, 18833
17 - 25, *, pre-primary, never-married, *, *, male, *, 8622
