20 - 37, *, pre-primary, married, *, *, *, *, 8828
20 - 37, *, pre-primary, married, *, *, *, *, 14101
20 - 37, *, pre-primary, married, *, *, *, *, 5620
20 - 37, *, pre-primary, married, *, *, *, *, 17979
20 - 37, *, pre-primary, married, *, *, *, *, 10922
20 - 37, *, pre-primary, married, *, *, *, *, 10496
20 - 37, *, pre-primary, married, *, *, *, *, 8384
20 - 37, *, pre-primary, married, *, *, *, *, 12650
20 - 37, *, pre-primary, married, *, *, *, *, 12090
20 - 37, *, pre-primary, married, *, *, *, *, 9363
20 - 37, *, pre-primary, married, *, *, *, *, 14012
20 - 37, *, pre-primary, married, *, *, *, *, 12352
20 - 37, *, pre-primary, married, *, *, *, *, 15086
20 - 37, *, pre-primary, married, *, *, *, *, 15797
20 - 37, *, pre-primary, married, *, *, *, *, 7296
20 - 37, *, pre-primary, married, *, *, *, *, 15650
20 - 37, *, pre-primary, married, *, *, *, *, 7369
20 - 37, *, pre-primary, married, *, *, *, *, 7633
20 - 37, *, pre-primary, married, *, *, *, *, 5526
20 - 37, *, pre-primary, married, *, *, *, *, 16035
20 - 37, *, pre-primary, married, *, *, *, *, 14721
20 - 37, *, pre-primary, married, *, *, *, *, 19594
20 - 37, *, pre-primary, married, *, *, *, *, 13308
20 - 37, *, pre-primary, married, *, *, *, *, 5016
20 - 37, *, pre-primary, married, *, *, *, *, 17291
20 - 37, *, pre-primary, married, *, *, *, *, 15186
20 - 37, *, pre-primary, married, *, *, *, *, 10097
20 - 37, *, pre-primary, married, *, *, *, *, 15382
20 - 37, *, pre-primary, married, *, *, *, *, 12053
20 - 37, *, pre-primary, married, *, *, *, *, 11695
20 - 37, *, pre-primary, married, *, *, *, *, 14451
20 - 37, *, pre-primary, married, *, *, *, *, 6333
20 - 37, *, pre-primary, married, *, *, *, *, 15851
20 - 37, *, pre-primary, married, *, *, *, *, 11328
20 - 37, *, pre-primary, married, *, *, *, *, 13546
20 - 37, *, pre-primary, married, *, *, *, *, 12004
20 - 37, *, pre-primary, married, *, *, *, *, 18000
20 - 37, *, pre-primary, married, *, *, *, *, 15208
20 - 37, *, pre-primary, married, *, *, *, *, 19039
20 - 37, *, pre-primary, married, *, *, *, *, 16133
20 - 37, *, pre-primary, married, *, *, *, *, 19800
20 - 37, *, pre-primary, married, *, *, *, *, 6255
20 - 37, *, pre-primary, married, *, *, *, *, 10279
20 - 37, *, pre-primary, married, *, *, *, *, 8298
20 - 37, *, pre-primary, married, *, *, *, *, 16054
20 - 37, *, pre-primary, married, *, *, *, *, 19728
20 - 37, *, pre-primary, married, *, *, *, *, 6394
20 - 37, *, pre-primary, married, *, *, *, *, 19262
20 - 37, *, pre-primary, married, *, *, *, *, 16125
20 - 37, *, pre-primary, married, *, *, *, *, 15255
20 - 37, *, pre-primary, married, *, *, *, *, 16715
20 - 37, *, pre-primary, married, *, *, *, *, 5373
20 - 37, *, pre-primary, married, *, *, *, *, 7979
20 - 37, *, pre-primary, married, *, *, *, *, 11443
20 - 37, *, pre-primary, married, *, *, *, *, 10165
20 - 37, *, pre-primary, married, *, *, *, *, 6604
20 - 37, *, pre-primary, married, *, *, *, *, 13067
20 - 37, *, pre-primary, married, *, *, *, *, 8339
20 - 37, *, pre-primary, married, *, *, *, *, 9156
20 - 37, *, pre-primary, married, *, *, *, *, 10246
20 - 37, *, pre-primary, married, *, *, *, *, 5383
20 - 37, *, pre-primary, married, *, *, *, *, 12882
20 - 37, *, pre-primary, married, *, *, *, *, 16043
20 - 37, *, pre-primary, married, *, *, *, *, 8735
20 - 37, *, pre-primary, married, *, *, *, *, 7015
20 - 37, *, pre-primary, married, *, *, *, *, 10522
20 - 37, *, pre-primary, married, *, *, *, *, 17228
20 - 37, *, pre-primary, married, *, *, *, *, 10144
20 - 37, *, pre-primary, married, *, *, *, *, 11152
20 - 37, *, pre-primary, married, *, *, *, *, 10337
20 - 37, *, pre-primary, married, *, *, *, *, 6702
20 - 37, *, pre-primary, married, *, *, *, *, 17270
20 - 37, *, pre-primary, married, *, *, *, *, 10145
20 - 37, *, pre-primary, married, *, *, *, *, 6578
20 - 37, *, pre-primary, married, *, *, *, *, 8417
20 - 37, *, pre-primary, married, *, *, *, *, 9553
20 - 37, *, pre-primary, married, *, *, *, *, 6389
20 - 37, *, pre-primary, married, *, *, *, *, 12526
20 - 37, *, pre-primary, married, *, *, *, *, 5033
20 - 37, *, pre-primary, married, *, *, *, *, 18648
20 - 37, *, pre-primary, married, *, *, *, *, 7607
20 - 37, *, pre-primary, married, *, *, *, *, 6023
20 - 37, *, pre-primary, married, *, *, *, *, 12256
20 - 37, *, pre-primary, married, *, *, *, *, 5017
20 - 37, *, pre-primary, married, *, *, *, *, 11103
20 - 37, *, pre-primary, married, *, *, *, *, 13015
20 - 37, *, pre-primary, married, *, *, *, *, 11510
20 - 37, *, pre-primary, married, *, *, *, *, 9732
20 - 37, *, pre-primary, married, *, *, *, *, 10245
20 - 37, *, pre-primary, married, *, *, *, *, 18643
20 - 37, *, pre-primary, married, *, *, *, *, 6418
20 - 37, *, pre-primary, married, *, *, *, *, 13432
20 - 37, *, pre-primary, married, *, *, *, *, 19484
20 - 37, *, pre-primary, married, *, *, *, *, 12650
20 - 37, *, pre-primary, married, *, *, *, *, 12334
20 - 37, *, pre-primary, married, *, *, *, *, 17835
20 - 37, *, pre-primary, married, *, *, *, *, 12890
20 - 37, *, pre-primary, married, *, *, *, *, 18926
20 - 37, *, pre-primary, married, *, *, *, *, 10863
17 - 26, *, pre-primary, never-married, *, *, *, *, 8042
17 - 26, *, pre-primary, never-married, *, *, *, *, 18806
17 - 26, *, pre-primary, never-married, *, *, *, *, 5800
17 - 26, *, pre-primary, never-married, *, *, *, *, 12587
17 - 26, *, pre-primary, never-married, *, *, *, *, 18833
17 - 26, *, pre-primary, never-married, *, *, *, *, 8622
17 - 26, *, pre-primary, never-married, *, *, *, *, 16558
17 - 26, *, pre-primary, never-married, *, *, *, *, 7564
17 - 26, *, pre-primary, never-married, *, *, *, *, 8209
17 - 26, *, pre-primary, never-married, *, *, *, *, 17622
17 - 26, *, pre-primary, never-married, *, *, *, *, 10514
17 - 26, *, pre-primary, never-married, *, *, *, *, 9254
17 - 26, *, pre-primary, never-married, *, *, *, *, 17616
17 - 26, *, pre-primary, never-married, *, *, *, *, 5677
17 - 26, *, pre-primary, never-married, *, *, *, *, 13049
17 - 26, *, pre-primary, never-married, *, *, *, *, 6319
17 - 26, *, pre-primary, never-married, *, *, *, *, 12819
17 - 26, *, pre-primary, never-married, *, *, *, *, 18145
17 - 26, *, pre-primary, never-married, *, *, *, *, 16058
17 - 26, *, pre-primary, never-married, *, *, *, *, 7928
17 - 26, *, pre-primary, never-married, *, *, *, *, 6531
17 - 26, *, pre-primary, never-married, *, *, *, *, 15108
17 - 26, *, pre-primary, never-married, *, *, *, *, 15849
17 - 26, *, pre-primary, never-married, *, *, *, *, 18214
17 - 26, *, pre-primary, never-married, *, *, *, *, 13360
17 - 26, *, pre-primary, never-married, *, *, *, *, 11582
17 - 26, *, pre-primary, never-married, *, *, *, *, 14741
17 - 26, *, pre-primary, never-married, *, *, *, *, 18032
17 - 26, *, pre-primary, never-married, *, *, *, *, 16015
17 - 26, *, pre-primary, never-married, *, *, *, *, 8829
17 - 26, *, pre-primary, never-married, *, *, *, *, 12509
17 - 26, *, pre-primary, never-married, *, *, *, *, 17509
17 - 26, *, pre-primary, never-married, *, *, *, *, 9007
17 - 26, *, pre-primary, never-married, *, *, *, *, 13945
17 - 26, *, pre-primary, never-married, *, *, *, *, 18158
17 - 26, *, pre-primary, never-married, *, *, *, *, 12157
17 - 26, *, pre-primary, never-married, *, *, *, *, 19771
17 - 26, *, pre-primary, never-married, *, *, *, *, 13231
17 - 26, *, pre-primary, never-married, *, *, *, *, 10967
17 - 26, *, pre-primary, never-married, *, *, *, *, 6962
17 - 26, *, pre-primary, never-married, *, *, *, *, 19606
17 - 26, *, pre-primary, never-married, *, *, *, *, 14384
17 - 26, *, pre-primary, never-married, *, *, *, *, 10214
17 - 26, *, pre-primary, never-married, *, *, *, *, 7839
17 - 26, *, pre-primary, never-married, *, *, *, *, 19347
17 - 26, *, pre-primary, never-married, *, *, *, *, 5247
17 - 26, *, pre-primary, never-married, *, *, *, *, 17403
17 - 26, *, pre-primary, never-married, *, *, *, *, 6427
17 - 26, *, pre-primary, never-married, *, *, *, *, 12148
