17 - 24, *, *, married, *, *, male, *, 76623
17 - 24, *, *, married, *, *, male, *, 53576
17 - 24, *, *, married, *, *, male, *, 41769
17 - 24, *, *, married, *, *, male, *, 96601
17 - 24, *, *, married, *, *, male, *, 41750
17 - 24, *, *, married, *, *, male, *, 64178
17 - 24, *, *, married, *, *, male, *, 72670
17 - 24, *, *, married, *, *, male, *, 9363
17 - 24, *, *, married, *, *, male, *, 104248
17 - 24, *, *, married, *, *, male, *, 12352
17 - 24, *, *, married, *, *, male, *, 59934
17 - 24, *, *, married, *, *, male, *, 89872
17 - 24, *, *, married, *, *, male, *, 39440
17 - 24, *, *, married, *, *, male, *, 107741
17 - 24, *, *, married, *, *, male, *, 65501
17 - 24, *, *, married, *, *, male, *, 53700
17 - 24, *, *, married, *, *, male, *, 60301
17 - 24, *, *, married, *, *, male, *, 33716
17 - 24, *, *, married, *, *, male, *, 58013
17 - 24, *, *, married, *, *, male, *, 15186
17 - 24, *, *, married, *, *, male, *, 15382
17 - 24, *, *, married, *, *, male, *, 13546
17 - 24, *, *, married, *, *, male, *, 12004
17 - 24, *, *, married, *, *, male, *, 77789
17 - 24, *, *, married, *, *, male, *, 16125
17 - 24, *, *, married, *, *, male, *, 7979
17 - 24, *, *, married, *, *, male, *, 11443
17 - 24, *, *, married, *, *, male, *, 28491
17 - 24, *, *, married, *, *, male, *, 72471
17 - 24, *, *, married, *, *, male, *, 9156
17 - 24, *, *, married, *, *, male, *, 35283
17 - 24, *, *, married, *, *, male, *, 86851
17 - 24, *, *, married, *, *, male, *, 34954
17 - 24, *, *, married, *, *, male, *, 6578
17 - 24, *, *, married, *, *, male, *, 9553
17 - 24, *, *, married, *, *, male, *, 66253
17 - 24, *, *, married, *, *, male, *, 74145
17 - 24, *, *, married, *, *, male, *, 5033
17 - 24, *, *, married, *, *, male, *, 60439
17 - 24, *, *, married, *, *, male, *, 44754
17 - 24, *, *, married, *, *, male, *, 69812
17 - 24, *, *, married, *, *, male, *, 11103
17 - 24, *, *, married, *, *, male, *, 84324
17 - 24, *, *, married, *, *, male, *, 35665
17 - 24, *, *, married, *, *, male, *, 49040
17 - 24, *, *, married, *, *, male, *, 84428
17 - 24, *, *, married, *, *, male, *, 48695
17 - 24, *, *, married, *, *, male, *, 49725
17 - 24, *, *, married, *, *, male, *, 45959
17 - 24, *, *, married, *, *, male, *, 63348
17 - 24, *, *, married, *, *, male, *, 69871
17 - 24, *, *, married, *, *, male, *, 88155
17 - 24, *, *, married, *, *, male, *, 42123
17 - 24, *, *, married, *, *, male, *, 16016
17 - 24, *, *, married, *, *, male, *, 79454
17 - 24, *, *, married, *, *, male, *, 71961
17 - 24, *, *, married, *, *, male, *, 50670
17 - 24, *, *, married, *, *, male, *, 71755
17 - 24, *, *, married, *, *, male, *, 90804
17 - 24, *, *, married, *, *, male, *, 37033
17 - 24, *, *, married, *, *, male, *, 97500
17 - 24, *, *, married, *, *, male, *, 54233
17 - 24, *, *, married, *, *, male, *, 66356
17 - 24, *, *, married, *, *, male, *, 50349
17 - 24, *, *, married, *, *, male, *, 54585
17 - 24, *, *, married, *, *, male, *, 68815
17 - 24, *, *, married, *, *, male, *, 74372
17 - 24, *, *, married, *, *, male, *, 82620
17 - 24, *, *, married, *, *, male, *, 64878
17 - 24, *, *, married, *, *, male, *, 125720
17 - 24, *, *, married, *, *, male, *, 10521
17 - 24, *, *, married, *, *, male, *, 36311
17 - 24, *, *, married, *, *, male, *, 62091
17 - 24, *, *, married, *, *, male, *, 52550
17 - 24, *, *, married, *, *, male, *, 46750
17 - 24, *, *, married, *, *, male, *, 59222
17 - 24, *, *, married, *, *, male, *, 62885
17 - 24, *, *, married, *, *, male, *, 10508
17 - 24, *, *, married, *, *, male, *, 85960
17 - 24, *, *, married, *, *, male, *, 56550
17 - 24, *, *, married, *, *, male, *, 96848
17 - 24, *, *, married, *, *, male, *, 45351
17 - 24, *, *, married, *, *, male, *, 35722
17 - 24, *, *, married, *, *, male, *, 51743
17 - 24, *, *, married, *, *, male, *, 97331
17 - 24, *, *, married, *, *, male, *, 95497
17 - 24, *, *, married, *, *, male, *, 74040
17 - 24, *, *, married, *, *, male, *, 80171
17 - 24, *, *, married, *, *, male, *, 49198
17 - 24, *, *, married, *, *, male, *, 78929
17 - 24, *, *, married, *, *, male, *, 90936
17 - 24, *, *, married, *, *, male, *, 54745
17 - 24, *, *, married, *, *, male, *, 91126
17 - 24, *, *, married, *, *, male, *, 124568
17 - 24, *, *, married, *, *, male, *, 79829
17 - 24, *, *, married, *, *, male, *, 62801
17 - 24, *, *, married, *, *, male, *, 72306
17 - 24, *, *, married, *, *, male, *, 58545
17 - 24, *, *, married, *, *, male, *, 55109
17 - 24, *, *, married, *, *, male, *, 54933
17 - 24, *, *, married, *, *, male, *, 65954
17 - 24, *, *, married, *, *, male, *, 73207
17 - 24, *, *, married, *, *, male, *, 55918
17 - 24, *, *, married, *, *, male, *, 37739
17 - 24, *, *, married, *, *, male, *, 48334
17 - 24, *, *, married, *, *, male, *, 67915
17 - 24, *, *, married, *, *, male, *, 69409
17 - 24, *, *, married, *, *, male, *, 49859
17 - 24, *, *, married, *, *, male, *, 94459
17 - 24, *, *, married, *, *, male, *, 40393
17 - 24, *, *, married, *, *, male, *, 88184
17 - 24, *, *, married, *, *, male, *, 90340
17 - 24, *, *, married, *, *, male, *, 58060
17 - 24, *, *, married, *, *, male, *, 74889
17 - 24, *, *, married, *, *, male, *, 94645
17 - 24, *, *, married, *, *, male, *, 35888
17 - 24, *, *, married, *, *, male, *, 52106
17 - 24, *, *, married, *, *, male, *, 87377
17 - 24, *, *, married, *, *, male, *, 76920
17 - 24, *, *, married, *, *, male, *, 59860
17 - 24, *, *, married, *, *, male, *, 128585
17 - 24, *, *, married, *, *, male, *, 65118
17 - 24, *, *, married, *, *, male, *, 76215
17 - 24, *, *, married, *, *, male, *, 62696
17 - 24, *, *, married, *, *, male, *, 133691
17 - 24, *, *, married, *, *, male, *, 68585
17 - 24, *, *, married, *, *, male, *, 89156
17 - 24, *, *, married, *, *, male, *, 59484
17 - 24, *, *, married, *, *, male, *, 44262
